EnvName,Framework,Filename,Template Action,Solution,Avg. Steps,Stochastic,Dialog,Darkness,Nonstandard Action,Inventory,Difficulty,Game,\# Rooms,Max Score,Maze,Trivia,Self-Maintenance,Combat,Time,Mechanical Puzzle,Persistence,Stochasticity,Forgiveness,Environment changes without agent's input,Distractor objects,Include,Notes
JerichoEnvSeastalker,jericho,seastalker,243,204,8,FALSE,TRUE,FALSE,FALSE,FALSE,Difficult,Seastalker,30+,100,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Nasty,,,TRUE,
JerichoEnvSherlock,jericho,sherlock,739,339,10,TRUE,TRUE,FALSE,FALSE,TRUE,Extreme,Sherlock: The Riddle of the Crown Jewels,30+,100,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Nasty,,,TRUE,
JerichoEnvSnacktime,jericho,snacktime,42,34,8,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,Snack Time,2+,50,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Polite,,,TRUE,
JerichoEnvSorcerer,jericho,sorcerer,296,254,11,TRUE,FALSE,TRUE,TRUE,TRUE,Extreme,Sorcerer,10+,400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Nasty,,,TRUE,
JerichoEnvSpellbrkr,jericho,spellbrkr,236,412,13,TRUE,FALSE,TRUE,TRUE,TRUE,Extreme,Spellbreaker,30+,600,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Cruel,,,TRUE,
JerichoEnvSpirit,jericho,spirit,195,1264,21,FALSE,TRUE,TRUE,TRUE,TRUE,Extreme,Spiritwrak,30+,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Polite,,,TRUE,
JerichoEnvTemple,jericho,temple,63,182,20,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,The Temple,10+,35,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Polite,,,TRUE,
JerichoEnvTheatre,jericho,theatre,167,296,14,FALSE,TRUE,FALSE,FALSE,FALSE,Difficult,Theatre,30+,50,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Polite,,,TRUE,
JerichoEnvTrinity,jericho,trinity,2274,610,12,FALSE,TRUE,TRUE,FALSE,TRUE,Extreme,Trinity,30+,100,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Tough,,,TRUE,
JerichoEnvTryst205,jericho,tryst205,141,518,12,FALSE,TRUE,FALSE,TRUE,TRUE,Extreme,Tryst of Fate,30+,350,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Polite,,,TRUE,
JerichoEnvWeapon,jericho,weapon,42,72,72,FALSE,TRUE,FALSE,FALSE,FALSE,Difficult,The Weapon,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Polite,,,TRUE,
JerichoEnvWishbringer,jericho,wishbringer,312,184,5,TRUE,TRUE,FALSE,FALSE,TRUE,Difficult,Wishbringer,30+,100,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Tough,,,TRUE,
JerichoEnvYomomma,jericho,yomomma,50,98,6,FALSE,TRUE,FALSE,FALSE,FALSE,Difficult,Raising the Flag on Mount Yo Momma,2+,35,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Merciful,,,TRUE,
JerichoEnvZenon,jericho,zenon,22,83,17,FALSE,TRUE,FALSE,FALSE,FALSE,Difficult,Zenon,10+,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvZork1,jericho,zork1,114,400,9,TRUE,FALSE,TRUE,FALSE,TRUE,Difficult,Zork I,30+,350,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Cruel,,,TRUE,
JerichoEnvZork2,jericho,zork2,112,296,11,TRUE,TRUE,TRUE,FALSE,TRUE,Difficult,Zork II,30+,400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Cruel,,,TRUE,
JerichoEnvZork3,jericho,zork3,67,273,39,TRUE,TRUE,TRUE,FALSE,TRUE,Difficult,Zork III,30+,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Cruel,,,TRUE,
JerichoEnvZtuu,jericho,ztuu,64,84,5,TRUE,FALSE,TRUE,FALSE,FALSE,Possible,Zork: The Undiscovered Underground,10+,100,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Tough,,,TRUE,
ScienceWorldBoil,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldMelt,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldFreeze,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldChangeTheStateOfMatterOf,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldUseThermometer,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldMeasureMeltingPointKnownSubstance,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldMeasureMeltingPointUnknownSubstance,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldPowerComponent,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldPowerComponentRenewableVsNonrenewableEnergy,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldTestConductivity,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldTestConductivityOfUnknownSubstances,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldFindLivingThing,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldFindNonLivingThing,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldFindPlant,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldFindAnimal,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldGrowPlant,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldGrowFruit,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldChemistryMix,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldChemistryMixPaintSecondaryColor,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldChemistryMixPaintTertiaryColor,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldLifespanLongestLived,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldLifespanShortestLived,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldLifespanLongestLivedThenShortestLived,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldIdentifyLifeStages1,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldIdentifyLifeStages2,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldInclinedPlaneDetermineAngle,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldInclinedPlaneFrictionNamedSurfaces,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldInclinedPlaneFrictionUnnamedSurfaces,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldMendelianGeneticsKnownPlant,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
ScienceWorldMendelianGeneticsUnknownPlant,scienceworld,,,,,,,,,,Difficult,,,,,,,,,,,,,,,TRUE,
TWCookingLevel1,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel2,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel3,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel4,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel5,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel6,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel7,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel8,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel9,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWCookingLevel10,textworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickAndPlaceSimpleSeen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldLookAtObjInLightSeen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickCleanThenPlaceInRecepSeen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickHeatThenPlaceInRecepSeen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickCoolThenPlaceInRecepSeen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickTwoObjAndPlaceSeen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickAndPlaceSimpleUnseen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldLookAtObjInLightUnseen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickCleanThenPlaceInRecepUnseen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickHeatThenPlaceInRecepUnseen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickCoolThenPlaceInRecepUnseen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
ALFWorldPickTwoObjAndPlaceUnseen,alfworld,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSorting,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXArithmetic,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXMapreader,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXTwc,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXCoin,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXCookingworld,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXPeckingorder,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSays10,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSays20,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSays50,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSays100,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSaysWithMemory10,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSaysWithMemory20,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSaysWithMemory50,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
TWXSimonSaysWithMemory100,textworld_express,,,,,,,,,,Possible,,,,,,,,,,,,,,,TRUE,
